Time,SP500,SP500futures
02-Jun-1998,6.99688272227344,6.99919433929892
03-Jun-1998,6.98724088996766,6.98309463552795
04-Jun-1998,6.99835433886745,7.00101790944183
05-Jun-1998,7.01558672587345,7.01884932648772
08-Jun-1998,7.01725518941204,7.0184017990692
09-Jun-1998,7.01966334318465,7.02063743603881
10-Jun-1998,7.01416726774831,7.01481435127554
11-Jun-1998,6.99812596683012,6.99576615630485
12-Jun-1998,7.00201032596592,7.00351990096652
15-Jun-1998,6.98194397144932,6.97891247329847
16-Jun-1998,6.99171948689744,6.99209642741589
17-Jun-1998,7.00950828188355,7.01256564333448
18-Jun-1998,7.00883966049618,7.0089571594911
19-Jun-1998,7.00365621516464,7.0100862100796
22-Jun-1998,7.00597935562615,7.01817796023223
23-Jun-1998,7.0206284945071,7.02997291170639
24-Jun-1998,7.03251834632833,7.04359650189355
25-Jun-1998,7.02933556616698,7.04184901346284
26-Jun-1998,7.03280072471598,7.0453409419347
29-Jun-1998,7.03745809319461,7.04882071926074
30-Jun-1998,7.03336535087205,7.04141166379481
01-Jul-1998,7.04626431418811,7.05315348167149
02-Jul-1998,7.04439936065979,7.05444965813294
06-Jul-1998,7.05387086890511,7.06433158602423
07-Jul-1998,7.05156123677139,7.06240583385105
08-Jul-1998,7.06166021861775,7.06902342657826
09-Jul-1998,7.0549331845658,7.06261998954305
10-Jul-1998,7.05990105547606,7.06261998954305
13-Jul-1998,7.06063939219529,7.06795903052247
14-Jul-1998,7.07121672676997,7.07813076475769
15-Jul-1998,7.06886176159629,7.07623142895404
16-Jul-1998,7.07664536101632,7.08275845496841
17-Jul-1998,7.07897375743143,7.08485489179494
20-Jul-1998,7.07673825106835,7.08464544577888
21-Jul-1998,7.06053640368248,7.06710669720857
22-Jul-1998,7.05968631665393,7.06625363680282
23-Jul-1998,7.03856421909355,7.0453409419347
24-Jul-1998,7.03948509261234,7.0453409419347
27-Jul-1998,7.04514050354762,7.05033932243793
28-Jul-1998,7.03018526968781,7.03482836154561
29-Jul-1998,7.02572492922494,7.02930897453471
30-Jul-1998,7.04136787543454,7.04403289727469
31-Jul-1998,7.02168203897824,7.04403289727469
03-Aug-1998,7.01431102696514,7.01884932648772
04-Aug-1998,6.97739327100075,6.97914527506881
05-Aug-1998,6.98603956831315,6.9925558806746
06-Aug-1998,6.99359347264458,6.99622392696975
07-Aug-1998,6.99342821574346,6.99622392696975
10-Aug-1998,6.98761952303968,6.9925558806746
11-Aug-1998,6.9744601830667,6.97634807044775
12-Aug-1998,6.9886160866898,6.99439158564168
13-Aug-1998,6.97999224775729,6.98077337171871
14-Aug-1998,6.9686151672389,6.96814457899492
17-Aug-1998,6.98810874821045,6.98887433026693
18-Aug-1998,7.00415572877154,7.00850518208228
19-Aug-1998,7.00130031911637,7.00556233898505
20-Aug-1998,6.99539976684811,6.99805291696292
