data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Feb 14, 2002","1,116.75","1,119.00","1,125.50","1,111.75",229.78K,-0.18
"Feb 15, 2002","1,104.75","1,116.50","1,118.00","1,103.00",221.74K,-1.07
"Feb 19, 2002","1,083.75","1,104.00","1,108.00","1,081.75",249.16K,-1.9
"Feb 20, 2002","1,101.00","1,084.00","1,101.50","1,073.75",321.71K,1.59
"Feb 21, 2002","1,079.00","1,100.50","1,102.00","1,078.25",323.45K,-2
"Feb 22, 2002","1,091.75","1,079.25","1,095.00","1,074.25",356.77K,1.18
"Feb 25, 2002","1,109.50","1,092.00","1,113.50","1,087.00",285.52K,1.63
"Feb 26, 2002","1,108.00","1,109.25","1,116.00","1,100.50",298.36K,-0.14
"Feb 27, 2002","1,111.50","1,108.00","1,123.75","1,101.75",366.14K,0.32
"Feb 28, 2002","1,107.00","1,112.00","1,122.75","1,105.75",330.57K,-0.4
"Mar 01, 2002","1,132.50","1,106.25","1,133.50","1,106.00",272.76K,2.3
"Mar 04, 2002","1,151.75","1,131.00","1,154.75","1,130.00",346.41K,1.7
"Mar 05, 2002","1,149.00","1,152.50","1,158.75","1,144.50",340.31K,-0.24
"Mar 06, 2002","1,162.50","1,148.50","1,166.25","1,145.25",360.07K,1.17
"Mar 07, 2002","1,159.25","1,162.25","1,168.75","1,150.25",36.22K,-0.28
"Mar 08, 2002","1,163.75","1,158.75","1,173.25","1,158.00",10.31K,0.39
"Mar 11, 2002","1,166.25","1,164.00","1,173.50","1,158.75",6.53K,0.21
"Mar 12, 2002","1,166.75","1,165.25","1,167.25","1,153.75",7.07K,0.04
"Mar 13, 2002","1,154.50","1,166.00","1,170.75","1,150.50",3.77K,-1.05
"Mar 14, 2002","1,153.00","1,151.50","1,158.25","1,147.25",4.05K,-0.13
"Mar 15, 2002","1,158.60","1,154.25","1,159.00","1,152.50",0.73K,0.49
"Mar 18, 2002","1,167.25","1,166.00","1,175.75","1,161.00",274.85K,0.75
"Mar 19, 2002","1,174.25","1,167.00","1,177.50","1,166.75",261.00K,0.6
"Mar 20, 2002","1,152.25","1,174.25","1,175.25","1,151.75",302.17K,-1.87
"Mar 21, 2002","1,152.75","1,152.25","1,158.50","1,141.25",290.50K,0.04
"Mar 22, 2002","1,149.50","1,153.00","1,159.00","1,146.75",231.49K,-0.28
"Mar 25, 2002","1,135.75","1,149.00","1,153.25","1,133.00",255.03K,-1.2
"Mar 26, 2002","1,142.00","1,135.50","1,149.50","1,134.00",289.50K,0.55
"Mar 27, 2002","1,145.00","1,142.00","1,149.25","1,136.75",265.96K,0.26
"Mar 28, 2002","1,149.25","1,144.50","1,156.75","1,143.25",190.23K,0.37
"Apr 01, 2002","1,144.50","1,145.25","1,150.00","1,134.25",226.00K,-0.41
"Apr 02, 2002","1,138.00","1,145.00","1,145.00","1,137.00",270.86K,-0.57
"Apr 03, 2002","1,130.25","1,137.50","1,141.25","1,120.75",297.82K,-0.68
"Apr 04, 2002","1,125.75","1,129.75","1,132.75","1,121.00",335.58K,-0.4
"Apr 05, 2002","1,125.50","1,127.25","1,135.00","1,120.50",290.78K,-0.02
"Apr 08, 2002","1,127.50","1,126.00","1,128.75","1,110.00",354.12K,0.18
"Apr 09, 2002","1,120.50","1,129.25","1,131.50","1,117.75",333.30K,-0.62
"Apr 10, 2002","1,132.00","1,120.50","1,133.50","1,119.00",417.34K,1.03
"Apr 11, 2002","1,104.00","1,132.00","1,133.00","1,103.00",435.03K,-2.47
"Apr 12, 2002","1,112.00","1,103.50","1,114.50","1,103.50",350.24K,0.72
"Apr 15, 2002","1,104.25","1,112.50","1,116.75","1,100.00",348.58K,-0.7
"Apr 16, 2002","1,129.75","1,104.00","1,131.00","1,104.00",298.11K,2.31
"Apr 17, 2002","1,128.00","1,131.50","1,135.75","1,123.75",281.48K,-0.15
"Apr 18, 2002","1,123.00","1,127.25","1,132.75","1,108.50",359.02K,-0.44
"Apr 19, 2002","1,126.75","1,119.00","1,130.75","1,116.50",210.31K,0.33
"Apr 22, 2002","1,108.25","1,127.50","1,128.00","1,106.00",274.23K,-1.64
"Apr 23, 2002","1,103.25","1,109.25","1,113.75","1,099.25",355.38K,-0.45
"Apr 24, 2002","1,091.75","1,102.75","1,109.75","1,091.50",345.43K,-1.04
"Apr 25, 2002","1,092.50","1,092.75","1,095.00","1,083.50",371.96K,0.07
"Apr 26, 2002","1,072.00","1,093.00","1,097.75","1,070.25",359.82K,-1.88
"Apr 29, 2002","1,065.00","1,072.25","1,079.75","1,063.50",325.83K,-0.65
"Apr 30, 2002","1,077.25","1,065.50","1,083.25","1,063.50",323.15K,1.15
"May 01, 2002","1,088.50","1,076.75","1,089.25","1,064.75",379.54K,1.04
"May 02, 2002","1,084.50","1,088.25","1,092.25","1,079.25",310.76K,-0.37
"May 03, 2002","1,073.00","1,085.00","1,088.00","1,068.75",312.25K,-1.06
"May 06, 2002","1,051.75","1,073.75","1,076.50","1,050.00",357.64K,-1.98
"May 07, 2002","1,047.50","1,051.75","1,059.75","1,045.75",355.30K,-0.4
"May 08, 2002","1,086.50","1,051.75","1,090.00","1,051.25",420.08K,3.72
"May 09, 2002","1,074.00","1,085.50","1,090.00","1,072.25",334.53K,-1.15
"May 10, 2002","1,054.00","1,074.00","1,079.50","1,052.50",350.01K,-1.86
"May 13, 2002","1,075.50","1,054.00","1,076.00","1,053.50",353.66K,2.04
"May 14, 2002","1,098.50","1,075.50","1,099.75","1,074.25",365.50K,2.14
"May 15, 2002","1,094.50","1,098.75","1,105.25","1,089.00",433.31K,-0.36
"May 16, 2002","1,099.00","1,093.50","1,100.75","1,089.25",349.98K,0.41
"May 17, 2002","1,105.25","1,099.50","1,109.00","1,097.00",296.59K,0.57
"May 20, 2002","1,093.50","1,104.75","1,106.50","1,090.75",264.98K,-1.06
"May 21, 2002","1,083.00","1,093.25","1,100.75","1,079.25",346.44K,-0.96
"May 22, 2002","1,085.00","1,083.00","1,086.75","1,075.50",336.00K,0.18
"May 23, 2002","1,097.00","1,084.50","1,099.25","1,080.50",349.49K,1.11
"May 24, 2002","1,082.50","1,097.50","1,101.00","1,082.00",248.71K,-1.32
"May 28, 2002","1,076.50","1,083.25","1,090.00","1,070.00",358.64K,-0.55
"May 29, 2002","1,067.75","1,076.50","1,077.50","1,066.75",309.03K,-0.81
"May 30, 2002","1,065.75","1,068.25","1,073.00","1,054.25",395.29K,-0.19
"May 31, 2002","1,067.50","1,065.50","1,080.75","1,062.75",333.44K,0.16
"Jun 03, 2002","1,038.80","1,066.25","1,071.00","1,036.50",452.87K,-2.69
"Jun 04, 2002","1,041.50","1,038.75","1,047.00","1,030.75",568.36K,0.26
"Jun 05, 2002","1,050.50","1,042.50","1,051.50","1,038.50",400.76K,0.86
"Jun 06, 2002","1,029.50","1,051.50","1,053.75","1,025.25",484.65K,-2
"Jun 07, 2002","1,028.25","1,016.00","1,034.00","1,010.25",429.24K,-0.12
"Jun 10, 2002","1,032.00","1,029.25","1,039.25","1,025.00",319.40K,0.36
"Jun 11, 2002","1,014.25","1,031.75","1,045.00","1,012.00",445.77K,-1.72
"Jun 12, 2002","1,020.25","1,014.00","1,022.75","1,002.50",607.62K,0.59
"Jun 13, 2002","1,010.75","1,020.00","1,027.00","1,007.75",43.14K,-0.93
"Jun 14, 2002","1,009.00","1,010.75","1,011.00",978.75,27.69K,-0.17
"Jun 17, 2002","1,035.50","1,010.75","1,037.75","1,003.50",10.49K,2.63
"Jun 18, 2002","1,044.25","1,035.75","1,044.75","1,029.50",14.53K,0.85
"Jun 19, 2002","1,019.50","1,040.25","1,041.50","1,017.25",10.21K,-2.37
"Jun 20, 2002","1,007.00","1,021.75","1,025.00","1,004.50",12.72K,-1.23
"Jun 21, 2002",991.33,"1,006.50","1,012.50",996,1.49K,-1.56
"Jun 24, 2002",997,992.5,"1,005.50",971,647.19K,0.57
"Jun 25, 2002",974.5,995.75,"1,007.25",973.75,527.90K,-2.26
"Jun 26, 2002",974.75,975,979.75,945.5,699.05K,0.03
"Jun 27, 2002",992,975.5,993,964,616.02K,1.77
"Jun 28, 2002",990,992.25,"1,003.25",986,366.38K,-0.2
"Jul 01, 2002",969.5,989,996.25,967,420.86K,-2.07
"Jul 02, 2002",947.5,969.75,974.25,945.5,587.77K,-2.27
"Jul 03, 2002",953.25,948.25,955.5,934.75,417.78K,0.61
"Jul 05, 2002",991,953.25,993,950.25,203.36K,3.96
"Jul 08, 2002",978.25,990.5,995.75,973.25,504.37K,-1.29
"Jul 09, 2002",954,978.25,981.75,951.5,524.56K,-2.48
"Jul 10, 2002",919,954.5,961.5,917.75,716.07K,-3.67
"Jul 11, 2002",927,919.75,930.5,900.5,791.12K,0.87
"Jul 12, 2002",917.25,928,938,912.75,520.60K,-1.05
"Jul 15, 2002",920.5,916.75,921.75,875.75,806.72K,0.35
"Jul 16, 2002",903.25,920.5,924,894.75,812.92K,-1.87
"Jul 17, 2002",905,901,929.75,891.5,698.81K,0.19
"Jul 18, 2002",875.5,906.5,918.75,874.25,608.18K,-3.26
"Jul 19, 2002",844,874.5,879,839.75,658.10K,-3.6
"Jul 22, 2002",819.75,842.75,856.25,810.75,925.74K,-2.87
"Jul 23, 2002",796.75,820.5,836.25,794.25,877.94K,-2.81
"Jul 24, 2002",844,795.25,847.5,771,975.95K,5.93
"Jul 25, 2002",836.75,844.75,854.75,812.5,881.27K,-0.86
"Jul 26, 2002",853.75,837.25,855.75,824.75,544.18K,2.03
"Jul 29, 2002",893.75,855,900,852.5,532.26K,4.69
"Jul 30, 2002",905.5,894.25,910.25,883.5,697.45K,1.31
"Jul 31, 2002",911.5,904.5,916,888.75,570.16K,0.66
